"Washington, DC",DC,WashingtonDC
"Kent, DE",DE,KentDE
"New Castle, DE",DE,NewCastleDE
"Sussex, DE",DE,SussexDE
"Allegany, MD",MD,AlleganyMD
"Anne Arundel, MD",MD,AnneArundelMD
"Baltimore, MD",MD,BaltimoreMD
"Calvert, MD",MD,CalvertMD
"Caroline, MD",MD,CarolineMD
"Carroll, MD",MD,CarrollMD
"Cecil, MD",MD,CecilMD
"Charles, MD",MD,CharlesMD
"Dorchester, MD",MD,DorchesterMD
"Frederick, MD",MD,FrederickMD
"Garrett, MD",MD,GarrettMD
"Harford, MD",MD,HarfordMD
"Howard, MD",MD,HowardMD
"Kent, MD",MD,KentMD
"Montgomery, MD",MD,MontgomeryMD
"Prince Georges, MD",MD,PrinceGeorgesMD
"Queen Annes, MD",MD,QueenAnnesMD
"St. Marys, MD",MD,StMarysMD
"Somerset, MD",MD,SomersetMD
"Talbot, MD",MD,TalbotMD
"Washington, MD",MD,WashingtonMD
"Wicomico, MD",MD,WicomicoMD
"Worcester, MD",MD,WorcesterMD
"Baltimore City, MD",MD,BaltimoreCityMD
"Allegany, NY",NY,AlleganyNY
"Broome, NY",NY,BroomeNY
"Chemung, NY",NY,ChemungNY
"Chenango, NY",NY,ChenangoNY
"Cortland, NY",NY,CortlandNY
"Delaware, NY",NY,DelawareNY
"Herkimer, NY",NY,HerkimerNY
"Livingston, NY",NY,LivingstonNY
"Madison, NY",NY,MadisonNY
"Oneida, NY",NY,OneidaNY
"Onondaga, NY",NY,OnondagaNY
"Ontario, NY",NY,OntarioNY
"Otsego, NY",NY,OtsegoNY
"Schoharie, NY",NY,SchoharieNY
"Schuyler, NY",NY,SchuylerNY
"Steuben, NY",NY,SteubenNY
"Tioga, NY",NY,TiogaNY
"Tompkins, NY",NY,TompkinsNY
"Yates, NY",NY,YatesNY
"Adams, PA",PA,AdamsPA
"Bedford, PA",PA,BedfordPA
"Berks, PA",PA,BerksPA
"Blair, PA",PA,BlairPA
"Bradford, PA",PA,BradfordPA
"Cambria, PA",PA,CambriaPA
"Cameron, PA",PA,CameronPA
"Carbon, PA",PA,CarbonPA
"Centre, PA",PA,CentrePA
"Chester, PA",PA,ChesterPA
"Clearfield, PA",PA,ClearfieldPA
"Clinton, PA",PA,ClintonPA
"Columbia, PA",PA,ColumbiaPA
"Cumberland, PA",PA,CumberlandPA
"Dauphin, PA",PA,DauphinPA
"Elk, PA",PA,ElkPA
"Franklin, PA",PA,FranklinPA
"Fulton, PA",PA,FultonPA
"Huntingdon, PA",PA,HuntingdonPA
"Indiana, PA",PA,IndianaPA
"Jefferson, PA",PA,JeffersonPA
"Juniata, PA",PA,JuniataPA
"Lackawanna, PA",PA,LackawannaPA
"Lancaster, PA",PA,LancasterPA
"Lebanon, PA",PA,LebanonPA
"Luzerne, PA",PA,LuzernePA
"Lycoming, PA",PA,LycomingPA
"Mckean, PA",PA,MckeanPA
"Mifflin, PA",PA,MifflinPA
"Montour, PA",PA,MontourPA
"Northumberland, PA",PA,NorthumberlandPA
"Perry, PA",PA,PerryPA
"Potter, PA",PA,PotterPA
"Schuylkill, PA",PA,SchuylkillPA
"Snyder, PA",PA,SnyderPA
"Somerset, PA",PA,SomersetPA
"Sullivan, PA",PA,SullivanPA
"Susquehanna, PA",PA,SusquehannaPA
"Tioga, PA",PA,TiogaPA
"Union, PA",PA,UnionPA
"Wayne, PA",PA,WaynePA
"Wyoming, PA",PA,WyomingPA
"York, PA",PA,YorkPA
"Accomack, VA",VA,AccomackVA
"Albemarle, VA",VA,AlbemarleVA
"Alleghany, VA",VA,AlleghanyVA
"Amelia, VA",VA,AmeliaVA
"Amherst, VA",VA,AmherstVA
"Appomattox, VA",VA,AppomattoxVA
"Arlington, VA",VA,ArlingtonVA
"Augusta, VA",VA,AugustaVA
"Bath, VA",VA,BathVA
"Bedford, VA",VA,BedfordVA
"Botetourt, VA",VA,BotetourtVA
"Buckingham, VA",VA,BuckinghamVA
"Campbell, VA",VA,CampbellVA
"Caroline, VA",VA,CarolineVA
"Charles City, VA",VA,CharlesCityVA
"Chesterfield, VA",VA,ChesterfieldVA
"Clarke, VA",VA,ClarkeVA
"Craig, VA",VA,CraigVA
"Culpeper, VA",VA,CulpeperVA
"Cumberland, VA",VA,CumberlandVA
"Dinwiddie, VA",VA,DinwiddieVA
"Essex, VA",VA,EssexVA
"Fairfax, VA",VA,FairfaxVA
"Fauquier, VA",VA,FauquierVA
"Fluvanna, VA",VA,FluvannaVA
"Frederick, VA",VA,FrederickVA
"Giles, VA",VA,GilesVA
"Gloucester, VA",VA,GloucesterVA
"Goochland, VA",VA,GoochlandVA
"Greene, VA",VA,GreeneVA
"Hanover, VA",VA,HanoverVA
"Henrico, VA",VA,HenricoVA
"Highland, VA",VA,HighlandVA
"Isle Of Wight, VA",VA,IsleOfWightVA
"James City, VA",VA,JamesCityVA
"King And Queen, VA",VA,KingAndQueenVA
"King George, VA",VA,KingGeorgeVA
"King William, VA",VA,KingWilliamVA
"Lancaster, VA",VA,LancasterVA
"Loudoun, VA",VA,LoudounVA
"Louisa, VA",VA,LouisaVA
"Madison, VA",VA,MadisonVA
"Mathews, VA",VA,MathewsVA
"Middlesex, VA",VA,MiddlesexVA
"Montgomery, VA",VA,MontgomeryVA
"Nelson, VA",VA,NelsonVA
"New Kent, VA",VA,NewKentVA
"Northampton, VA",VA,NorthamptonVA
"Northumberland, VA",VA,NorthumberlandVA
"Nottoway, VA",VA,NottowayVA
"Orange, VA",VA,OrangeVA
"Page, VA",VA,PageVA
"Powhatan, VA",VA,PowhatanVA
"Prince Edward, VA",VA,PrinceEdwardVA
"Prince George, VA",VA,PrinceGeorgeVA
"Prince William, VA",VA,PrinceWilliamVA
"Rappahannock, VA",VA,RappahannockVA
"Richmond, VA",VA,RichmondVA
"Roanoke, VA",VA,RoanokeVA
"Rockbridge, VA",VA,RockbridgeVA
"Rockingham, VA",VA,RockinghamVA
"Shenandoah, VA",VA,ShenandoahVA
"Spotsylvania, VA",VA,SpotsylvaniaVA
"Stafford, VA",VA,StaffordVA
"Surry, VA",VA,SurryVA
"Warren, VA",VA,WarrenVA
"Westmoreland, VA",VA,WestmorelandVA
"York, VA",VA,YorkVA
"Alexandria, VA",VA,AlexandriaVA
"Buena Vista, VA",VA,BuenaVistaVA
"Charlottesville City, VA",VA,CharlottesvilleCityVA
"Chesapeake City, VA",VA,ChesapeakeCityVA
"Colonial Heights City, VA",VA,ColonialHeightsCityVA
"Covington City, VA",VA,CovingtonCityVA
"Fairfax City, VA",VA,FairfaxCityVA
"Falls Church City, VA",VA,FallsChurchCityVA
"Fredericksburg City, VA",VA,FredericksburgCityVA
"Hampton City, VA",VA,HamptonCityVA
"Harrisonburg City, VA",VA,HarrisonburgCityVA
"Hopewell City, VA",VA,HopewellCityVA
"Lexington City, VA",VA,LexingtonCityVA
"Lynchburg City, VA",VA,LynchburgCityVA
"Manassas City, VA",VA,ManassasCityVA
"Manassas Park City, VA",VA,ManassasParkCityVA
"Newport News City, VA",VA,NewportNewsCityVA
"Norfolk City, VA",VA,NorfolkCityVA
"Petersburg City, VA",VA,PetersburgCityVA
"Poquoson City, VA",VA,PoquosonCityVA
"Portsmouth City, VA",VA,PortsmouthCityVA
"Richmond City, VA",VA,RichmondCityVA
"Staunton City, VA",VA,StauntonCityVA
"Suffolk City, VA",VA,SuffolkCityVA
"Virginia Beach City, VA",VA,VirginiaBeachCityVA
"Waynesboro City, VA",VA,WaynesboroCityVA
"Williamsburg City, VA",VA,WilliamsburgCityVA
"Winchester City, VA",VA,WinchesterCityVA
"Berkeley, WV",WV,BerkeleyWV
"Grant, WV",WV,GrantWV
"Hampshire, WV",WV,HampshireWV
"Hardy, WV",WV,HardyWV
"Jefferson, WV",WV,JeffersonWV
"Mineral, WV",WV,MineralWV
"Monroe, WV",WV,MonroeWV
"Morgan, WV",WV,MorganWV
"Pendleton, WV",WV,PendletonWV
"Preston, WV",WV,PrestonWV
"Tucker, WV",WV,TuckerWV
